date,new_deaths,previous_day_deaths,death_growth_percentage
2020-04-01,5551,44478.0,12.4803273528486
2020-04-02,6305,50029.0,12.602690439545064
2020-04-03,5985,56334.0,10.624134625625732
2020-04-04,5841,62319.0,9.372743465074857
2020-04-05,5021,68160.0,7.366490610328638
2020-04-06,5832,73181.0,7.969281644142605
2020-04-07,7902,79013.0,10.00088593016339
2020-04-08,6735,86915.0,7.748950123684059
2020-04-09,7629,93650.0,8.146289375333689
2020-04-10,7272,101279.0,7.1801656809407675
2020-04-11,6069,108551.0,5.590920396864147
2020-04-12,5731,114620.0,5.0
2020-04-13,5747,120351.0,4.775199208980399
2020-04-14,6898,126098.0,5.470348459134958
2020-04-15,8312,132996.0,6.249812024421788
2020-04-16,7283,141308.0,5.153989866108076
2020-04-17,8890,148591.0,5.982865718650524
2020-04-18,6471,157481.0,4.109067125558004
2020-04-19,4570,163952.0,2.7874011905923686
2020-04-20,5443,168522.0,3.229845361436489
2020-04-21,7157,173965.0,4.114045928778777
2020-04-22,6755,181122.0,3.7295303717935977
2020-04-23,6850,187877.0,3.6460024377651337
2020-04-24,6674,194727.0,3.427362409938016
2020-04-25,5578,201401.0,2.7695989592901724
2020-04-26,3883,206979.0,1.8760357330936954
2020-04-27,4649,210862.0,2.2047595109597746
2020-04-28,6463,215511.0,2.998918848689858
2020-04-29,6768,221974.0,3.049005739410922
2020-04-30,5962,228742.0,2.606429951648582
2020-05-01,5177,234704.0,2.2057570386529415
2020-05-02,5325,239881.0,2.2198506759601635
2020-05-03,3453,245206.0,1.4082037144278687
2020-05-04,4128,248659.0,1.6601048021587799
2020-05-05,5871,252787.0,2.3225086733099407
2020-05-06,6669,258658.0,2.5783080360939925
2020-05-07,5409,265327.0,2.038616499640067
2020-05-08,5568,270736.0,2.0566160392411796
2020-05-09,4265,276304.0,1.5435896693497018
2020-05-10,3566,280569.0,1.270988598170147
2020-05-11,3473,284135.0,1.2223062980625408
2020-05-12,5547,287608.0,1.9286667964729771
2020-05-13,5228,293155.0,1.7833569272228
2020-05-14,5268,298383.0,1.765516131951217
2020-05-15,5215,303651.0,1.717432183658213
2020-05-16,4171,308866.0,1.3504238083829234
2020-05-17,3329,313037.0,1.0634525631155423
2020-05-18,3291,316366.0,1.0402508487005557
2020-05-19,4784,319657.0,1.496604172597503
